"","Female_18over_pt","Pop_20_24_18over_pt","Pop_25_44_18over_pt","Pop_45_64_18over_pt","Pop_65_84_18over_pt","Pop_85over_18over_pt","Hispanic_pt","NH_White_pt","NH_Black_pt","EduLHigh_18over_pt","Poverty_18over_pt","Insured_19over_pt","MHI","CHD","CSMOKING","BPHIGH","HIGHCHOL","OBESITY","DIABETES","Latitude","Longitude","Metric_2.5km","Metric_5km","Metric_11.1km"
"8945",49.40313779,7.742155525,44.0313779,28.06957708,14.989768075,1.500682128,30.70432043,67.73177318,0.618811881,23.20941337,17.42837653,74.9082649,58146,7.3,24.2,35.1,35.3,38.8,11.7,30.22128,-95.36072,0,0,0
"8946",50.92450437,7.849943261,34.06982177,35.98558174,15.125826046,1.495227288,33.23579239,57.9752554,3.763026849,16.6410787,5.121111936,85.53260259,81911,5.4,16.2,31,32.3,34.2,9.4,30.10576,-95.28841,0,0,0
"8947",50.8370607,11.57827476,43.64217252,29.59744409,10.798722045,3.923322684,22.70594858,63.29517733,4.072058548,7.846645367,6.54313099,87.50802414,65155,5.8,15.6,32.8,33.3,32.9,9.3,30.07729,-95.22795,0,0,0
"8948",55.55242787,12.7234342,33.58198452,35.90429275,12.653061224,0.365939479,31.22913189,64.29465776,2.15984975,25.95355384,19.12737509,65.77854176,48274,7.8,24.7,36.4,36.4,39.5,12.6,30.12502,-95.18995,0,0,0
"8949",47.8926097,13.33718245,27.91570439,37.90415704,13.337182448,0.981524249,56.33520449,40.27666399,0.541299118,34.84411085,16.2817552,68.02761933,48816,7.9,25,37.5,37.2,40.4,13.5,30.20424,-95.27861,0,0,0
"8950",49.37838699,12.6979067,33.47146956,31.33567102,15.598767399,0.998831155,39.42694247,51.66289014,0.336232732,22.80310275,20.52801724,77.69451179,58852,6.3,20.9,33.7,34.2,37.1,10.6,30.15466,-95.26918,0,0,0
"8951",51.19825708,9.150326797,27.04876823,36.51751299,17.596782299,2.815485168,34.43526171,63.54871024,0.813924368,24.53494218,12.6864421,76.68649108,55032,7.4,22.4,36.7,37,37.4,11.8,30.21976,-95.23573,0,0,0
"8952",53.79756354,9.099112649,35.31358099,35.67453752,15.641449838,0.751992781,20.02736266,72.1006104,2.073247737,19.92780869,12.27252218,80.31216195,63958,7.5,22.9,36.5,36.8,37.4,11.7,30.2121,-95.15153,0,0,0
"8953",47.84846613,9.120856496,42.33065678,30.53325098,12.044471896,0.700020589,48.46945779,43.56897735,4.021962938,31.58328186,13.09450278,62.80746395,51135,8.4,24.8,39.8,38.9,39.7,13.4,30.16699,-95.14869,0,0,0
"8954",49.19023447,12.64201112,34.75948755,32.84989123,14.213197969,0.894367899,22.90144359,74.79950098,1.087150241,31.35122069,4.955281605,70.0426172,72917,6.8,22.3,35,35.8,35.6,10.6,30.28679,-95.18591,0,0,0
"8955",52.08361613,11.9587349,35.63187186,37.84444143,10.180534817,0.597258043,47.53103706,50.15401848,0.02800336,33.90796797,19.12583141,63.24000557,46479,7.3,23.7,34.2,34.7,39.5,12.4,30.29728,-95.30709,0,0,0
"8956",47.87553648,13.47639485,37.10300429,35.17167382,10.987124464,0,64.73081149,19.07078951,15.41359284,44.97854077,18.84120172,55.48245614,38603,6.8,23.2,35.3,32.7,42.2,14.1,30.30846,-95.4416,0,0,0
"8957",50.18918919,12.78378378,38.97297297,30,11.567567568,0.810810811,58.91977134,33.03765031,7.786319732,36.02702703,11.16216216,59.44726452,58352,6.1,19,33.6,33.4,37.5,11.5,30.29779,-95.41693,0,0,0
